Symbol,Sector,Sector_Code,Market_Cap,PE_Ratio,PB_Ratio,ROE,Profit_Margin,Revenue_Growth,Earnings_Growth,Beta,Momentum_60,Volatility_60,RSI,Cluster,PC1,PC2
AAPL,Technology,XLK,4137203793920,37.319946,55.85654,1.7142199,0.26915002,0.079,0.912,1.107,0.19216574369618167,0.2092852729873804,58.90908407998252,3,4.185093337434991,-4.427567899973158
MSFT,Technology,XLK,3591408713728,34.36415,9.892711,0.32241002,0.35707,0.184,0.127,1.07,-0.0506681881060298,0.19034921058966822,34.33986755549688,3,2.3520996126822267,-4.285865585016589
NVDA,Technology,XLK,4441136693248,45.263027,37.287407,1.07359,0.53007,0.625,0.667,2.284,0.02586972944134458,0.37226923117931887,41.722076668078195,3,7.627053881528765,-5.444895463881828
AVGO,Technology,XLK,1842855673856,100.06153,6.5895543,0.27083,0.31592,0.164,1.881,1.204,0.08624954871921209,0.45040954435274344,69.07842130391117,3,4.173282626364181,-1.1526144948326817
CRM,Technology,XLK,249104924672,34.835564,4.0894895,0.12184,0.17913,0.086,0.386,1.253,0.07523380600877871,0.33649088588166537,62.8086662327047,4,0.6859396585059513,0.41522165801694333
ORCL,Technology,XLK,620275499008,50.249424,25.591625,0.69241995,0.21079999,0.122,-0.019,1.659,-0.25402973852762545,0.4883193686771507,46.16949960106233,1,1.2811077474628205,-0.06848879342322167
CSCO,Technology,XLK,308066844672,30.104248,6.55045,0.22418,0.17902,0.075,0.06,0.864,0.17902910757542712,0.22075062509137394,49.840939540844396,2,-0.1556901149764288,-0.548955427962702
ACN,Technology,XLK,166046285824,21.92352,5.314263,0.25509,0.11021,0.073,-0.155,1.261,0.11759035734570245,0.2933081327723391,66.67184652885378,4,0.11713344452290414,0.8925828388685436
AMD,Technology,XLK,354864234496,113.52605,5.8374395,0.05317,0.10323,0.356,0.603,1.927,0.37459791355771777,0.7603597599427436,33.48981134237866,3,4.940765606432381,1.986529794611489
ADBE,Technology,XLK,146883493888,21.600748,12.355838,0.52875,0.30012,0.107,0.112,1.54,-0.008873298934959584,0.286749133828079,61.20066783989892,4,0.6852409997673674,-0.35797093368583394
INTU,Technology,XLK,187538587648,46.297596,9.7097025,0.21987,0.21191,0.41,-0.185,1.267,0.044628109499001756,0.23565926111496818,53.912142626391436,4,1.2140833310749997,-0.795532513110576
TXN,Technology,XLK,165953896448,33.249546,9.979225,0.29757,0.29208001,0.142,0.007,0.989,0.00859421271637606,0.3066308319320623,75.76024641664166,4,0.6635706744722272,-0.07914779278110999
NOW,Technology,XLK,177835884544,103.059105,15.691878,0.16813,0.13665,0.218,0.159,0.972,-0.08030489456659262,0.2484781049120759,51.31834719813598,2,0.5352231867676036,-0.19268242381169104
AMAT,Technology,XLK,213500166144,30.946882,10.423149,0.35508,0.24669,-0.035,0.135,1.666,0.600270130720199,0.44460361508962964,76.07737593986373,4,2.6610951856725693,1.9436884723556642
PANW,Technology,XLK,138591469568,126.64967,15.8792515,0.15324001,0.11687,0.157,-0.041,0.786,0.012990998721165825,0.2866494814443616,42.866681111510346,2,0.49967845644396736,0.1609262894491353
MU,Technology,XLK,266955472896,31.254282,4.9139304,0.17198999,0.22845,0.46,2.569,1.548,0.5096900534639712,0.6254787065202212,45.58891158632377,3,5.1652881478109185,-0.6952506148470643
ADI,Technology,XLK,137734815744,61.686405,4.073125,0.06573,0.20575,0.259,0.661,1.039,0.14713919025807143,0.3109663251342807,82.10630520254014,4,1.7956262160785625,0.41629472330736694
LRCX,Technology,XLK,200125825024,35.11062,19.604692,0.62261003,0.29657,0.277,0.443,1.781,0.3617917118772318,0.4803333216449712,61.40617129571406,4,3.5474173396858366,0.2685521470920671
KLAC,Technology,XLK,159925583872,38.16656,32.039574,0.99167997,0.33828998,0.13,0.208,1.437,0.2619007755430476,0.411772651480916,64.24999618344566,4,2.4265647563534554,-0.19935520485331737
SNPS,Technology,XLK,88950636544,62.905663,3.1347635,0.065019995,0.31042,0.14,-0.427,1.154,0.09709718268498158,0.49044873768248143,87.4866052508309,4,1.9131123609522782,1.7213899037423182
CDNS,Technology,XLK,91973541888,86.99226,17.671728,0.21736,0.20354,0.101,0.207,1.051,-0.017322732085472303,0.3075968708731961,67.53024177799071,4,0.8020758980598889,0.4808543961284422
ADSK,Technology,XLK,65335619584,59.56116,22.478382,0.40333998,0.16129999,0.18,0.26,1.475,-0.038583287978627645,0.20283662163431102,58.45408389636793,4,0.5720071370366844,-0.19224079875254318
FTNT,Technology,XLK,66603843584,35.769547,87.79797,2.28043,0.28584,0.144,-0.114,1.101,0.0908634266571311,0.2667125384532933,66.28976183338474,0,1.5666319349149018,-1.7800145084619332
ROP,Technology,XLK,48174206976,30.866207,2.4095788,0.081549995,0.20337,0.143,0.082,0.938,-0.12531315719771152,0.21152706655219844,47.106208564202376,2,-0.8746263850373137,-0.8670973911001025
NXPI,Technology,XLK,57469521920,28.17676,5.721493,0.20872,0.17111,-0.024,-0.111,1.469,0.046525667948670524,0.3927212394067218,74.29516695871233,1,0.4159296742393509,1.6632502010388057
APH,Technology,XLK,170584375296,46.453335,13.620015,0.34807998,0.18218,0.534,1.021,1.194,0.17587727489054883,0.3128188640983398,59.23732248265456,4,2.7246152994723287,-1.1734566364930519
MSI,Technology,XLK,62374830080,30.023256,26.82069,1.1517,0.18704,0.078,0.012,0.997,-0.2210269683907936,0.2212569572320362,41.72344084505642,2,-1.0376490899589295,-1.4989454676098637
ON,Technology,XLK,22387236864,74.986305,2.806604,0.03891,0.051570002,-0.12,-0.326,1.571,0.1342727638273098,0.5171888694023614,71.96631234970246,1,0.8600063381359634,3.5005793441352115
