Symbol,Market_Cap,PE_Ratio,Forward_PE,PB_Ratio,PS_Ratio,Profit_Margin,Operating_Margin,ROE,ROA,Debt_to_Equity,Current_Ratio,Revenue,Revenue_Growth,Earnings_Growth,EPS,Beta,Dividend_Yield,52W_High,52W_Low,Sector,Sector_Code,MA_20,MA_50,MA_200,Price_to_MA20,Price_to_MA50,Momentum_20,Momentum_60,Volatility_20,Volatility_60,RSI,52W_Range,Annual_Return,Volatility,Sharpe_Ratio,Total_Return
AAPL,4137203793920,37.319946,33.54753,55.85654,9.941354,0.26915002,0.31647,1.7142199,0.22964,152.411,0.893,416161005568,0.079,0.912,7.47,1.107,0.37,288.62,169.21,Technology,XLK,274.7565002441406,265.4380230712891,227.7382861328125,1.0146438702326646,1.0502639959175122,0.03940944655668832,0.19216574369618167,0.17125822963111037,0.2092852729873804,58.90908407998252,0.9352032193040826,0.2224563420454985,0.2808812996122485,0.6495852244253216,0.4379070451056621
MSFT,3591408713728,34.36415,32.318394,9.892711,12.223492,0.35707,0.48873,0.32241002,0.14656,33.154,1.401,293812011008,0.184,0.127,14.06,1.07,0.75,555.45,344.79,Technology,XLK,490.6788803100586,507.0359191894531,468.29759094238284,0.9846765839132956,0.9529108005493738,-0.025674694765371098,-0.0506681881060298,0.21731975555492009,0.19034921058966822,34.33986755549688,0.6926695477700175,0.1609465887437178,0.2217184482011548,0.545496280192204,0.3103274215631559
NVDA,4441136693248,45.263027,44.274273,37.287407,23.731375,0.53007,0.63168997,1.07359,0.53528,9.102,4.468,187141996544,0.625,0.667,4.03,2.284,0.02,212.19,86.62,Technology,XLK,184.46974868774413,187.08759246826173,154.71949031829834,0.9888342395417835,0.9749978673388194,-0.030453583123707606,0.02586972944134458,0.38854310790685975,0.37226923117931887,41.722076668078195,0.7816264618925794,0.810294999109122,0.5105607030133963,1.5087236337672283,2.8418646751422623
AVGO,1842855673856,100.06153,63.24797,6.5895543,30.75219,0.31592,0.31765,0.27083,0.08895001,166.032,1.497,59925999616,0.164,1.881,3.9,1.204,0.6,403.0,138.1,Technology,XLK,365.2539993286133,355.53659912109373,274.6696166229248,1.0684071658399068,1.0976084915000874,0.1167901966459397,0.08624954871921209,0.5359092651278223,0.45040954435274344,69.07842130391117,0.9505564591407425,0.868104195737704,0.5307240808566093,1.5603290402823096,3.2374192449504813
CRM,249104924672,34.835564,23.4115,4.0894895,6.178657,0.17913,0.23862,0.12184,0.059499998,19.385,0.984,40317001728,0.086,0.386,7.48,1.253,0.64,367.09,221.96,Technology,XLK,237.0505012512207,243.5760009765625,258.8773765563965,1.0992172804902556,1.0697688043137363,0.08625146748481116,0.07523380600877871,0.33877716009063263,0.33649088588166537,62.8086662327047,0.25091485287738685,0.0837959924861906,0.3409018682865959,0.1284709664582164,0.0498424318731494
ORCL,620275499008,50.249424,30.38827,25.591625,10.509938,0.21079999,0.31381,0.69241995,0.07152,452.534,0.618,59017998336,0.122,-0.019,4.33,1.659,0.92,345.72,118.86,Technology,XLK,215.24400100708007,254.53355377197266,211.33827213287353,1.0108528033907795,0.854818543986451,-0.0906126940296399,-0.25402973852762545,0.47187724448649565,0.4883193686771507,46.16949960106233,0.46361382343555285,0.4528768839740919,0.4898606681966345,0.8428455493151767,0.9578503951413926
CSCO,308066844672,30.104248,19.992308,6.55045,5.3394833,0.17902,0.23604,0.22418,0.06646,63.228,0.927,57696002048,0.075,0.06,2.59,0.864,2.1,80.06,52.11,Technology,XLK,76.0625,72.45473541259766,65.82444385528565,1.025078076853944,1.0761201566288037,0.09708740052775622,0.17902910757542712,0.2627139672367526,0.22075062509137394,49.840939540844396,0.9837432370537252,0.292037673464226,0.2096162295373269,1.20237671491627,0.7069883876937688
ACN,166046285824,21.92352,18.947407,5.314263,2.3832238,0.11021,0.1522,0.25509,0.111829996,25.38,1.42,69672976384,0.073,-0.155,12.16,1.261,2.45,398.35,229.4,Technology,XLK,250.25799942016602,247.74699981689454,279.7897109222412,1.0652606388429737,1.0760574155687965,0.08475749632422502,0.11759035734570245,0.32130247406013085,0.2933081327723391,66.67184652885378,0.21038273944421426,-0.0678868210233205,0.2663236060827718,-0.4050967265357242,-0.1852954178339986
AMD,354864234496,113.52605,42.739216,5.8374395,11.080158,0.10323,0.13736,0.05317,0.025980001,6.366,2.308,32027000832,0.356,0.603,1.92,1.927,,267.08,76.48,Technology,XLK,225.61800155639648,224.52259979248046,153.10474990844727,0.966101994154125,0.9708154164532492,-0.06666948922257332,0.37459791355771777,0.6263668785570986,0.7603597599427436,33.48981134237866,0.7509134511702935,0.4106570538758583,0.5458485881046976,0.6790473804518914,0.690738475927221
ADBE,146883493888,21.600748,16.849636,12.355838,6.3363743,0.30012,0.36289,0.52875,0.18094,56.542,1.019,23181000704,0.107,0.112,16.03,1.54,,557.9,311.59,Technology,XLK,325.91900024414065,337.33880004882815,369.613299407959,1.062411241769419,1.02644584529116,0.05906100883203602,-0.008873298934959584,0.2889778661425762,0.286749133828079,61.20066783989892,0.1407549547608926,-0.2265553712137783,0.3410520742109897,-0.7815679521388147,-0.4323699542263847
